instantiations;compile-time [s]
100;0.027
200;0.036
300;0.040
400;0.057
500;0.067
600;0.087
700;0.108
800;0.141
900;0.193
1000;0.203
1100;0.239
1200;0.278
1300;0.331
1400;0.453
1500;0.507
1600;0.619
1700;0.595
1800;0.658
1900;0.741
2000;0.969
2100;0.890
2200;0.960
2300;1.203
2400;1.202
2500;1.395
2600;1.425
2700;1.500
2800;1.638
2900;1.812
3000;2.320
3100;2.264
3200;2.407
3300;2.610
3400;2.569
3500;2.840
3600;7.392
3700;3.196
3800;3.122
3900;3.222
4000;3.286
4100;3.888
4200;3.700
4300;4.172
4400;4.640
4500;4.364
4600;4.595
4700;4.883
4800;5.027
4900;5.074
5000;5.732
5100;6.083
5200;6.143
5300;6.095
5400;6.876
5500;7.809
5600;8.335
5700;8.196
5800;8.623
5900;7.592
6000;8.238
6100;8.731
6200;9.269
6300;9.432
6400;8.950
6500;9.265
6600;10.063
6700;9.879
6800;10.790
6900;11.000
7000;11.619
7100;13.001
7200;12.329
7300;13.337
7400;12.922
7500;13.116
7600;14.031
7700;15.933
7800;16.502
7900;14.640
8000;15.494
8100;17.028
8200;17.063
8300;17.974
8400;16.392
8500;15.830
8600;20.074
8700;17.899
8800;21.031
8900;18.321
9000;19.163
9100;22.303
9200;23.259
9300;19.880
9400;20.923
9500;23.056
9600;24.568
9700;21.870
9800;25.942
9900;22.853
10000;24.140
10100;23.437
10200;24.659
10300;28.679
10400;26.255
10500;28.489
10600;26.541
10700;29.009
10800;27.712
10900;27.009
11000;28.613
11100;29.625
11200;29.684
11300;31.190
11400;33.142
11500;32.256
11600;31.187
11700;37.682
11800;33.015
11900;33.671
12000;35.646
12100;34.711
12200;36.130
12300;37.208
12400;37.813
12500;38.266
12600;38.502
12700;38.142
12800;48.836
12900;40.320
13000;40.641
13100;62.814
13200;82.351
13300;43.476
13400;50.641
13500;45.738
13600;43.998
13700;45.173
13800;45.425
13900;46.164
14000;46.247
14100;98.714
14200;56.871
14300;48.988
14400;49.791
14500;50.678
14600;50.846
14700;59.969
14800;56.285
14900;106.054
15000;53.928
